date,killed,injured,victims,state,city,incident,geolocation,congressional_district,rifle_type,handgun_general,handgun_specific,handgun_type
2015-06-20,0,11,11,Pennsylvania,Philadelphia,http://www.gunviolencearchive.org/incident/361198,"39.9692, -75.2059",2,NA,Handgun,NA,NA
2015-06-19,0,4,4,Rhode Island,Woonsocket,http://www.gunviolencearchive.org/incident/361014,"42.0004, -71.5177",1,NA,NA,NA,22 LR
2015-06-17,9,0,9,South Carolina,Charleston,http://www.gunviolencearchive.org/incident/359830,"32.7876, -79.9332",1,NA,NA,NA,45 Auto
2015-06-16,0,4,4,Florida,Miami Gardens,http://www.gunviolencearchive.org/incident/359215,"25.9367, -80.2109",24,NA,NA,NA,NA
2015-06-15,0,4,4,New York,Brooklyn,http://www.gunviolencearchive.org/incident/358117,"40.6568, -73.9598",9,NA,NA,NA,NA
2015-06-14,1,3,4,New Jersey,Camden,http://www.gunviolencearchive.org/incident/357597,"39.9499, -75.0874",1,NA,NA,NA,NA
2015-06-14,0,4,4,Oklahoma,Tulsa,http://www.gunviolencearchive.org/incident/357667,"36.1809, -95.9096",1,NA,NA,NA,NA
2015-06-14,0,4,4,Missouri,Saint Louis,http://www.gunviolencearchive.org/incident/357611,"38.648, -90.1962",1,NA,NA,NA,NA
2015-06-13,1,4,5,Georgia,Fayetteville,http://www.gunviolencearchive.org/incident/357732,"33.5328, -84.4548",13,NA,NA,NA,NA
2015-06-13,1,3,4,Georgia,Milledgeville,http://www.gunviolencearchive.org/incident/357770,"33.0838, -83.2449",10,NA,NA,NA,NA
2015-06-13,0,5,5,New York,Bronx,http://www.gunviolencearchive.org/incident/357701,"40.8607, -73.8996",15,NA,NA,NA,40 SW
2015-06-13,0,4,4,Oklahoma,Oklahoma City,http://www.gunviolencearchive.org/incident/357590,"35.3951, -97.5033",5,NA,NA,NA,NA
2015-06-13,4,1,5,Ohio,Columbus,http://www.gunviolencearchive.org/incident/357164,"40.0134, -82.9664",3,NA,NA,NA,NA
2015-06-12,0,4,4,Florida,Allapattah,http://www.gunviolencearchive.org/incident/357220,"25.8092, -80.2361",24,NA,NA,NA,NA
2015-06-11,1,8,9,Connecticut,Bridgeport,http://www.gunviolencearchive.org/incident/356065,"41.2212, -73.1964",4,NA,NA,NA,NA
2015-06-11,1,3,4,Texas,Houston,http://www.gunviolencearchive.org/incident/355883,"29.7282, -95.3578",18,NA,NA,NA,NA
2015-06-10,1,3,4,California,Los Angeles,http://www.gunviolencearchive.org/incident/355644,"33.9579, -118.292",43,NA,NA,NA,NA
2015-06-09,1,3,4,Missouri,Saint Louis,http://www.gunviolencearchive.org/incident/355267,"38.652, -90.2256",1,NA,NA,NA,NA
2015-06-07,5,0,5,Montana,Deer Lodge,http://www.gunviolencearchive.org/incident/353854,"46.3991, -112.738",1,NA,NA,NA,45 Auto
2015-06-06,1,4,5,New York,Buffalo,http://www.gunviolencearchive.org/incident/353536,"42.8361, -78.7502",26,NA,NA,NA,NA
2015-06-06,0,5,5,Illinois,Chicago,http://www.gunviolencearchive.org/incident/353037,"41.8823, -87.7588",7,NA,NA,NA,NA
2015-06-05,0,5,5,Iowa,Davenport,http://www.gunviolencearchive.org/incident/353382,"41.5224, -90.5859",2,NA,NA,NA,NA
2015-06-05,1,3,4,Louisiana,New Orleans,http://www.gunviolencearchive.org/incident/352779,"29.9653, -90.0658",2,NA,NA,NA,NA
2015-06-03,3,1,4,New York,Wyandanch,http://www.gunviolencearchive.org/incident/351936,"40.7403, -73.3626",2,NA,NA,NA,NA
2015-05-31,3,1,4,Ohio,Cleveland,http://www.gunviolencearchive.org/incident/350163,"41.4366, -81.8117",9,NA,Handgun,NA,NA
2015-05-31,1,3,4,Maryland,Springdale,http://www.gunviolencearchive.org/incident/350021,"38.9376, -76.8467",4,NA,NA,NA,NA
2015-05-31,0,5,5,Connecticut,New Haven,http://www.gunviolencearchive.org/incident/349976,"41.306, -72.9251",3,NA,handgun,NA,NA
2015-05-31,3,2,5,Georgia,Conyers,http://www.gunviolencearchive.org/incident/350182,"33.5642, -84.0155",4,AR-15,handgun,NA,"15
Mag"
2015-05-30,0,4,4,California,San Diego,http://www.gunviolencearchive.org/incident/349289,"32.7115, -117.105",51,NA,NA,NA,NA
2015-05-28,0,4,4,Nebraska,Omaha,http://www.gunviolencearchive.org/incident/348606,"41.2053, -96.0441",2,NA,NA,NA,NA
2015-05-28,0,5,5,Illinois,Chicago,http://www.gunviolencearchive.org/incident/348620,"41.7812, -87.6703",7,NA,NA,NA,NA
2015-05-28,1,3,4,Pennsylvania,Chester,http://www.gunviolencearchive.org/incident/348673,"39.8325, -75.3902",1,NA,NA,NA,NA
2015-05-26,2,2,4,Louisiana,New Orleans,http://www.gunviolencearchive.org/incident/346725,"30.0289, -89.9846",2,NA,NA,NA,NA
2015-05-25,1,4,5,Illinois,Decatur,http://www.gunviolencearchive.org/incident/346097,"39.8608, -88.9546",13,NA,NA,NA,NA
2015-05-24,0,5,5,Massachusetts,Brockton,http://www.gunviolencearchive.org/incident/345681,"42.0656, -71.016",8,NA,NA,NA,NA
2015-05-24,0,7,7,Michigan,Flint,http://www.gunviolencearchive.org/incident/345749,"42.9944, -83.7044",5,NA,NA,NA,NA
2015-05-24,1,3,4,Alabama,Montgomery,http://www.gunviolencearchive.org/incident/346320,"32.3344, -86.3523",7,NA,NA,NA,NA
2015-05-24,0,4,4,Missouri,Saint Louis,http://www.gunviolencearchive.org/incident/346179,"38.6419, -90.2144",1,NA,NA,NA,NA
2015-05-23,2,2,4,California,Fresno,http://www.gunviolencearchive.org/incident/346202,"36.7142, -119.759",16,NA,NA,NA,NA
2015-05-20,1,3,4,Maryland,Baltimore,http://www.gunviolencearchive.org/incident/344302,"39.3753, -76.5414",3,NA,NA,NA,NA
2015-05-18,0,4,4,Missouri,Kinloch,http://www.gunviolencearchive.org/incident/343106,"38.7449, -90.3191",1,NA,NA,NA,NA
2015-05-18,1,4,5,Florida,Miami,http://www.gunviolencearchive.org/incident/342589,"25.8429, -80.2243",24,NA,NA,NA,NA
2015-05-17,9,18,27,Texas,Waco,http://www.gunviolencearchive.org/incident/341622,"31.5039, -97.129",17,NA,NA,NA,NA
2015-05-16,0,5,5,Wisconsin,Milwaukee,http://www.gunviolencearchive.org/incident/341465,"43.077, -87.9485",4,NA,NA,9mm,9mm
2015-05-16,0,4,4,New York,Rochester,http://www.gunviolencearchive.org/incident/341162,"43.1647, -77.5947",25,NA,NA,NA,NA
2015-05-16,0,5,5,Maryland,Baltimore,http://www.gunviolencearchive.org/incident/341232,"39.3097, -76.5954",7,NA,NA,NA,NA
2015-05-12,1,4,5,Maryland,Capitol Heights,http://www.gunviolencearchive.org/incident/340280,"38.8706, -76.9262",4,NA,NA,NA,NA
2015-05-12,5,0,5,Arizona,Tucson,http://www.gunviolencearchive.org/incident/339229,"32.1299, -111.066",3,NA,NA,9mm,9mm
2015-05-10,1,4,5,Ohio,Cleveland,http://www.gunviolencearchive.org/incident/337855,"41.4544, -81.7649",9,NA,NA,NA,NA
2015-05-10,0,4,4,New Jersey,Jersey City,http://www.gunviolencearchive.org/incident/338034,"40.7075, -74.0808",10,NA,NA,NA,NA
2015-05-10,1,3,4,New Jersey,Newark,http://www.gunviolencearchive.org/incident/337767,"40.7314, -74.2099",10,NA,NA,NA,NA
2015-05-07,0,4,4,Ohio,Cincinnati,http://www.gunviolencearchive.org/incident/335903,"39.1497, -84.5615",1,NA,NA,NA,NA
2015-05-07,0,4,4,Michigan,Detroit,http://www.gunviolencearchive.org/incident/336622,"42.3615, -83.2032",13,AR-15,NA,NA,NA
2015-05-04,1,3,4,New York,Buffalo,http://www.gunviolencearchive.org/incident/334681,"42.934, -78.8098",26,NA,NA,NA,NA
2015-05-03,0,4,4,Indiana,South Bend,http://www.gunviolencearchive.org/incident/334033,"41.6578, -86.256",2,NA,NA,NA,NA
2015-05-03,0,6,6,Texas,Houston,http://www.gunviolencearchive.org/incident/333584,"29.7406, -95.3753",18,NA,NA,NA,NA
2015-05-03,0,4,4,New York,Bronx,http://www.gunviolencearchive.org/incident/334047,"40.8447, -73.9228",15,NA,NA,NA,NA
2015-05-03,1,6,7,Ohio,Dayton,http://www.gunviolencearchive.org/incident/333576,"39.7317, -84.2512",10,NA,NA,NA,NA
2015-05-03,4,1,5,Wisconsin,Menasha,http://www.gunviolencearchive.org/incident/333750,"44.2029, -88.4656",6,NA,handgun,9mm,9mm
2015-05-01,2,3,5,Wisconsin,Milwaukee,http://www.gunviolencearchive.org/incident/332732,"43.0845, -87.9593",4,NA,NA,NA,NA
2015-04-27,2,4,6,New York,Brooklyn,http://www.gunviolencearchive.org/incident/330611,"40.6378, -73.9525",9,NA,NA,NA,NA
2015-04-27,2,2,4,Arizona,Gila Bend,http://www.gunviolencearchive.org/incident/330750,"32.949, -112.707",3,NA,NA,NA,NA
2015-04-25,0,4,4,New Jersey,Trenton,http://www.gunviolencearchive.org/incident/329463,"40.2218, -74.7606",12,NA,NA,NA,NA
2015-04-25,1,6,7,New York,Gates,http://www.gunviolencearchive.org/incident/329322,"43.1386, -77.672",25,NA,NA,NA,NA
2015-04-21,2,3,5,Texas,Killeen,http://www.gunviolencearchive.org/incident/326792,"31.124, -97.7371",31,NA,NA,NA,NA
2015-04-19,0,4,4,Virginia,Richmond,http://www.gunviolencearchive.org/incident/325862,"37.5547, -77.4366",3,NA,NA,NA,NA
2015-04-18,0,5,5,Alabama,Montgomery,http://www.gunviolencearchive.org/incident/327341,"32.3573, -86.3358",7,NA,NA,NA,NA
2015-04-18,0,5,5,Pennsylvania,Williamsport,http://www.gunviolencearchive.org/incident/325445,"41.2409, -77.0031",10,NA,Handgun,NA,NA
2015-04-18,1,3,4,North Carolina,Lumberton,http://www.gunviolencearchive.org/incident/325166,"34.5993, -79.0342",8,NA,NA,NA,NA
2015-04-18,0,4,4,North Carolina,Charlotte,http://www.gunviolencearchive.org/incident/325207,"35.2257, -80.9011",12,NA,NA,NA,NA
2015-04-18,1,3,4,New Jersey,Paterson,http://www.gunviolencearchive.org/incident/325618,"40.9207, -74.1591",9,NA,NA,NA,NA
2015-04-16,5,0,5,Arizona,Phoenix,http://www.gunviolencearchive.org/incident/324424,"33.6417, -111.989",6,NA,Handgun,NA,NA
2015-04-07,1,3,4,Georgia,Rome,http://www.gunviolencearchive.org/incident/319808,"34.2652, -85.1587",14,NA,handgun,NA,NA
2015-04-05,1,3,4,Pennsylvania,Pittsburgh,http://www.gunviolencearchive.org/incident/318125,"40.4412, -79.9806",14,NA,NA,NA,NA
2015-04-05,1,4,5,Kentucky,Louisville,http://www.gunviolencearchive.org/incident/318221,"38.2429, -85.8185",3,NA,NA,NA,NA
2015-04-05,0,5,5,Indiana,Indianapolis,http://www.gunviolencearchive.org/incident/318297,"39.8588, -86.2458",7,NA,NA,NA,NA
2015-04-05,0,4,4,Michigan,Benton Harbor,http://www.gunviolencearchive.org/incident/318531,"42.1156, -86.4336",6,NA,NA,NA,NA
2015-04-03,0,4,4,Florida,Daytona Beach,http://www.gunviolencearchive.org/incident/317165,"29.2313, -81.0621",6,NA,NA,NA,NA
2015-04-02,0,5,5,Maryland,Baltimore,http://www.gunviolencearchive.org/incident/316795,"39.2978, -76.6476",7,NA,NA,NA,NA
2015-03-27,0,7,7,Florida,Panama City Beach,http://www.gunviolencearchive.org/incident/314044,"30.1437, -85.7557",2,NA,NA,NA,40 SW
2015-03-26,0,4,4,Texas,Amarillo,http://www.gunviolencearchive.org/incident/313304,"35.2446, -101.824",13,NA,NA,NA,NA
2015-03-24,4,0,4,Indiana,Indianapolis,http://www.gunviolencearchive.org/incident/312119,"39.811, -86.1871",7,NA,NA,NA,NA
2015-03-23,1,4,5,Tennessee,Clarksville,http://www.gunviolencearchive.org/incident/311922,"36.5367, -87.3488",7,NA,NA,NA,NA
2015-03-22,1,6,7,New Mexico,Albuquerque,http://www.gunviolencearchive.org/incident/311348,"35.0873, -106.535",1,NA,NA,NA,NA
2015-03-21,0,4,4,Florida,Tampa,http://www.gunviolencearchive.org/incident/310573,"27.9604, -82.439",14,NA,NA,NA,NA
2015-03-20,1,5,6,Texas,Lancaster,http://www.gunviolencearchive.org/incident/468151,"32.6116, -96.7888",30,NA,NA,NA,NA
2015-03-18,1,3,4,New Jersey,Newark,http://www.gunviolencearchive.org/incident/308839,"40.7145, -74.2132",10,NA,NA,NA,NA
2015-03-18,1,5,6,Arizona,Mesa,http://www.gunviolencearchive.org/incident/308728,"33.4152, -111.864",9,NA,NA,NA,NA
2015-03-17,3,4,7,California,Stockton,http://www.gunviolencearchive.org/incident/308687,"37.9597, -121.296",9,NA,NA,NA,NA
2015-03-15,0,4,4,California,Compton,http://www.gunviolencearchive.org/incident/307512,"33.8863, -118.257",44,NA,NA,NA,NA
2015-03-14,0,5,5,Georgia,Atlanta,http://www.gunviolencearchive.org/incident/306897,"33.755, -84.482",5,NA,NA,NA,NA
2015-03-14,0,4,4,California,Coachella,http://www.gunviolencearchive.org/incident/308201,"33.6747, -116.18",36,NA,NA,NA,NA
2015-03-13,2,3,5,Mississippi,Brookhaven,http://www.gunviolencearchive.org/incident/305907,"31.561, -90.4451",3,NA,NA,NA,NA
2015-03-10,0,5,5,Georgia,Columbus,http://www.gunviolencearchive.org/incident/304238,"32.4375, -84.9598",2,NA,NA,NA,NA
2015-03-09,1,3,4,Illinois,Chicago,http://www.gunviolencearchive.org/incident/303659,"41.7018, -87.6549",1,NA,NA,NA,NA
2015-03-08,1,3,4,South Carolina,Seneca,http://www.gunviolencearchive.org/incident/302786,"34.664, -82.9271",3,NA,Handgun,NA,NA
2015-03-07,0,4,4,Missouri,Saint Louis,http://www.gunviolencearchive.org/incident/491864,"38.6352, -90.224",1,NA,Handgun,NA,NA
2015-03-04,3,4,7,California,San Bernardino,http://www.gunviolencearchive.org/incident/300860,NA,NA,NA,NA,NA,NA
2015-03-01,0,4,4,Florida,Orange County,http://www.gunviolencearchive.org/incident/300660,"28.452, -81.4441",5,NA,NA,NA,NA
2015-03-01,1,5,6,Michigan,Detroit,http://www.gunviolencearchive.org/incident/299344,"42.4117, -82.9691",14,NA,NA,NA,NA
2015-02-28,1,3,4,Maryland,Baltimore,http://www.gunviolencearchive.org/incident/299190,"39.3435, -76.588",7,NA,NA,NA,NA
2015-02-26,8,1,9,Missouri,Tyrone,http://www.gunviolencearchive.org/incident/298122,"37.1956, -91.9012",8,NA,NA,NA,45 Auto
2015-02-25,3,1,4,Texas,Houston,http://www.gunviolencearchive.org/incident/297681,"29.6599, -95.3556",9,NA,NA,NA,NA
2015-02-23,0,4,4,Florida,Daytona Beach,http://www.gunviolencearchive.org/incident/588835,"29.2083, -81.046",6,NA,NA,NA,NA
2015-02-22,4,1,5,Texas,Killeen,http://www.gunviolencearchive.org/incident/296215,"31.1199, -97.6832",31,NA,NA,NA,NA
2015-02-22,3,2,5,Georgia,Clarkesville,http://www.gunviolencearchive.org/incident/296121,"34.6357, -83.5978",9,NA,NA,9mm,9mm
2015-02-22,0,4,4,South Carolina,Charleston,http://www.gunviolencearchive.org/incident/296327,"32.8542, -80.0058",6,NA,NA,NA,NA
2015-02-20,0,4,4,California,Sacramento,http://www.gunviolencearchive.org/incident/295871,"38.57, -121.491",6,NA,NA,NA,NA
2015-02-17,1,3,4,Arkansas,Little Rock,http://www.gunviolencearchive.org/incident/295502,"34.677, -92.3196",2,NA,NA,NA,NA
2015-02-15,0,5,5,California,Long Beach,http://www.gunviolencearchive.org/incident/293883,"33.7837, -118.194",47,NA,NA,NA,NA
2015-02-09,3,1,4,Florida,New Port Richey,http://www.gunviolencearchive.org/incident/290626,"28.2963, -82.6173",12,NA,NA,NA,NA
2015-02-08,0,6,6,Tennessee,Friendship,http://www.gunviolencearchive.org/incident/290510,"35.8471, -89.2348",8,NA,NA,NA,NA
2015-02-07,5,2,7,Georgia,Douglasville,http://www.gunviolencearchive.org/incident/289811,"33.7138, -84.6692",13,NA,NA,NA,45 Auto
2015-02-06,1,4,5,Oklahoma,Tulsa,http://www.gunviolencearchive.org/incident/290098,"36.1723, -95.9045",1,NA,NA,NA,NA
2015-02-05,3,3,6,Ohio,Beachwood (Warrensville Heights),http://www.gunviolencearchive.org/incident/289146,"41.4498, -81.4964",11,NA,NA,NA,NA
2015-02-01,0,6,6,New York,Syracuse,http://www.gunviolencearchive.org/incident/287529,"43.0468, -76.1758",24,NA,handgun,NA,NA
2015-02-01,1,4,5,New York,New York (Manhattan),http://www.gunviolencearchive.org/incident/287031,"40.8206, -73.9548",13,NA,NA,NA,NA
2015-01-31,4,0,4,Georgia,Lagrange,http://www.gunviolencearchive.org/incident/286810,"32.9776, -85.142",3,NA,NA,NA,NA
2015-01-28,1,3,4,Georgia,Dekalb County,http://www.gunviolencearchive.org/incident/285549,"33.6913, -84.1796",4,NA,NA,NA,NA
2015-01-26,1,3,4,California,Stockton,http://www.gunviolencearchive.org/incident/285123,"37.9307, -121.265",9,NA,NA,NA,NA
2015-01-24,4,1,5,New York,Arverne (Queens),http://www.gunviolencearchive.org/incident/282956,"40.6557, -73.7508",5,NA,NA,NA,45 Auto
2015-01-24,3,5,8,Nebraska,Omaha,http://www.gunviolencearchive.org/incident/283041,"41.2767, -95.9637",2,NA,NA,NA,NA
2015-01-23,0,6,6,Massachusetts,Boston,http://www.gunviolencearchive.org/incident/283115,"42.3243, -71.101",7,NA,NA,NA,NA
2015-01-20,1,3,4,Tennessee,Clarksville,http://www.gunviolencearchive.org/incident/281663,"36.6134, -87.419",7,NA,NA,NA,NA
2015-01-19,2,5,7,Texas,San Antonio,http://www.gunviolencearchive.org/incident/281039,"29.4214, -98.4608",35,AK-47,NA,NA,40 SW
2015-01-13,2,2,4,Illinois,Rockford,http://www.gunviolencearchive.org/incident/278927,"42.2835, -89.1148",17,NA,NA,NA,NA
2015-01-13,0,5,5,Virginia,Portsmouth,http://www.gunviolencearchive.org/incident/298773,"36.8192, -76.3134",3,NA,NA,NA,NA
2015-01-11,2,5,7,North Carolina,Hope Mills,http://www.gunviolencearchive.org/incident/276845,"34.9339, -78.8664",2,NA,NA,NA,NA
2015-01-11,1,3,4,Florida,Lakeland,http://www.gunviolencearchive.org/incident/277480,"28.1425, -81.982",15,NA,NA,NA,NA
2015-01-11,0,5,5,California,San Jose,http://www.gunviolencearchive.org/incident/276766,"37.2818, -121.839",19,NA,NA,NA,NA
2015-01-10,2,2,4,Kansas,Wichita,http://www.gunviolencearchive.org/incident/276536,"37.6646, -97.2797",4,NA,NA,NA,NA
2015-01-09,4,0,4,California,San Francisco,http://www.gunviolencearchive.org/incident/276459,"37.7737, -122.426",12,NA,NA,NA,NA
2015-01-08,1,3,4,Massachusetts,Boston,http://www.gunviolencearchive.org/incident/275986,"42.3169, -71.0897",7,NA,NA,NA,NA
2015-01-07,1,3,4,Tennessee,Chattanooga,http://www.gunviolencearchive.org/incident/275064,"35.0403, -85.3182",3,NA,NA,NA,NA
2015-01-06,1,3,4,Florida,Miami,http://www.gunviolencearchive.org/incident/274867,"25.8315, -80.2188",24,NA,NA,NA,NA
2015-01-04,2,4,6,Virginia,Roanoke,http://www.gunviolencearchive.org/incident/273535,"37.281, -79.9985",6,NA,NA,NA,NA
2015-01-04,3,1,4,Texas,Dallas,http://www.gunviolencearchive.org/incident/273397,"32.6799, -96.6111",30,NA,NA,NA,NA
2015-01-02,1,4,5,Georgia,Savannah,http://www.gunviolencearchive.org/incident/273965,"32.0415, -81.0945",1,NA,NA,NA,NA
2015-01-01,0,5,5,Tennessee,Memphis,http://www.gunviolencearchive.org/incident/272016,"35.1489, -90.0461",9,NA,NA,NA,NA
2016-12-31,2,2,4,Georgia,Lenox (El Dorado),http://www.gunviolencearchive.org/incident/740447,"31.3562, -83.4982",8,NA,NA,NA,NA
2016-12-31,1,3,4,Texas,Houston,http://www.gunviolencearchive.org/incident/738749,"29.738, -95.3788",18,NA,NA,NA,NA
2016-12-30,0,5,5,Ohio,Mansfield,http://www.gunviolencearchive.org/incident/738041,"40.6728, -82.4973",12,NA,NA,NA,NA
2016-12-30,2,2,4,Connecticut,Wallingford,http://www.gunviolencearchive.org/incident/738576,"41.4494, -72.8436",3,NA,NA,NA,NA
2016-12-28,1,4,5,Georgia,Columbus,http://www.gunviolencearchive.org/incident/736690,"32.4649, -84.949",2,NA,NA,NA,NA
2016-12-25,0,4,4,Alabama,Ozark,http://www.gunviolencearchive.org/incident/735947,"31.4499, -85.6612",2,NA,NA,NA,NA
2016-12-25,3,4,7,Illinois,Chicago,http://www.gunviolencearchive.org/incident/734157,"41.7383, -87.6039",1,NA,NA,NA,NA
2016-12-25,1,5,6,New York,Mount Vernon,http://www.gunviolencearchive.org/incident/733599,"40.9125, -73.8365",16,NA,Handgun,NA,NA
2016-12-24,0,7,7,North Carolina,Madison,http://www.gunviolencearchive.org/incident/732927,"36.3893, -80.0078",6,NA,handgun,NA,NA
2016-12-24,4,0,4,North Carolina,Wilson,http://www.gunviolencearchive.org/incident/733176,"35.734, -77.8724",1,NA,NA,NA,NA
2016-12-23,1,3,4,Alabama,Birmingham,http://www.gunviolencearchive.org/incident/732263,"33.5384, -86.7826",7,NA,Handgun,NA,NA
2016-12-23,0,4,4,Illinois,Chicago,http://www.gunviolencearchive.org/incident/732574,"41.89, -87.6585",7,NA,NA,NA,NA
2016-12-17,0,4,4,North Carolina,Charlotte,http://www.gunviolencearchive.org/incident/728286,"35.2578, -80.7963",12,NA,NA,NA,NA
2016-12-17,5,0,5,Illinois,Chicago (Roseland),http://www.gunviolencearchive.org/incident/727759,"41.7037, -87.6259",2,NA,NA,NA,NA
2016-12-16,2,2,4,Illinois,Chicago,http://www.gunviolencearchive.org/incident/727544,"41.8156, -87.6895",4,NA,NA,NA,NA
2016-12-16,0,4,4,Illinois,Chicago,http://www.gunviolencearchive.org/incident/727555,"41.8646, -87.7056",7,NA,NA,NA,NA
2016-12-12,1,3,4,California,Sacramento,http://www.gunviolencearchive.org/incident/724667,"38.6537, -121.353",6,NA,NA,NA,"16
Mag"
2016-12-11,0,4,4,New York,Brooklyn,http://www.gunviolencearchive.org/incident/723649,"40.7036, -73.9272",7,NA,NA,NA,NA
2016-12-11,1,4,5,Florida,Orlando (Pine Hills),http://www.gunviolencearchive.org/incident/723643,"28.596, -81.451",5,NA,NA,NA,NA
2016-12-11,0,5,5,Maryland,Baltimore,http://www.gunviolencearchive.org/incident/723292,"39.235, -76.6114",2,NA,NA,NA,NA
2016-12-11,0,4,4,North Carolina,Rocky Mount,http://www.gunviolencearchive.org/incident/725338,"35.9468, -77.7798",1,NA,NA,NA,NA
2016-12-09,4,0,4,Texas,Channelview,http://www.gunviolencearchive.org/incident/725323,"29.7717, -95.1392",36,NA,NA,NA,NA
2016-12-09,0,4,4,California,Fresno,http://www.gunviolencearchive.org/incident/722452,"36.7277, -119.803",16,NA,NA,NA,NA
2016-12-05,4,1,5,New Mexico,Albuquerque,http://www.gunviolencearchive.org/incident/719128,"35.0483, -106.49",1,NA,NA,NA,NA
2016-12-03,0,6,6,California,Los Angeles,http://www.gunviolencearchive.org/incident/717873,"33.9545, -118.309",43,NA,NA,NA,NA
2016-12-02,0,6,6,New Jersey,Bloomfield,http://www.gunviolencearchive.org/incident/717616,"40.7701, -74.1891",10,NA,NA,NA,NA
2016-12-01,1,3,4,California,Clearlake Oaks,http://www.gunviolencearchive.org/incident/716001,"39.0455, -122.628",3,NA,NA,NA,NA
2016-11-30,2,4,6,Maryland,Baltimore,http://www.gunviolencearchive.org/incident/715101,"39.3205, -76.6771",7,NA,NA,NA,NA
2016-11-28,1,3,4,Texas,Mission (Palmview),http://www.gunviolencearchive.org/incident/712796,"26.2335, -98.3845",28,NA,NA,9mm,9mm
2016-11-28,0,4,4,California,Wilmington,http://www.gunviolencearchive.org/incident/712776,"33.7832, -118.272",44,NA,NA,NA,NA
2016-11-28,0,4,4,California,San Pedro,http://www.gunviolencearchive.org/incident/713445,"33.7424, -118.284",44,NA,NA,NA,NA
2016-11-27,1,9,10,Louisiana,New Orleans,http://www.gunviolencearchive.org/incident/711597,"29.9542, -90.0692",2,NA,NA,NA,NA
2016-11-27,0,7,7,Missouri,Kansas City,http://www.gunviolencearchive.org/incident/711744,"38.998, -94.5569",5,NA,NA,NA,NA
2016-11-26,1,5,6,Illinois,Chicago,http://www.gunviolencearchive.org/incident/710732,"41.7354, -87.5532",2,NA,NA,NA,NA
2016-11-25,0,4,4,Louisiana,New Orleans,http://www.gunviolencearchive.org/incident/710467,"29.9442, -90.0864",2,NA,NA,NA,NA
2016-11-24,2,4,6,Kentucky,Louisville,http://www.gunviolencearchive.org/incident/709370,"38.2506, -85.827",3,NA,NA,NA,NA
2016-11-24,1,3,4,New York,Albany,http://www.gunviolencearchive.org/incident/709276,"42.6591, -73.7658",20,NA,NA,NA,NA
2016-11-23,0,4,4,Mississippi,Olive Branch,http://www.gunviolencearchive.org/incident/708777,"34.9898, -89.7674",1,NA,NA,NA,NA
2016-11-22,1,4,5,Florida,Clewiston,http://www.gunviolencearchive.org/incident/708392,"26.7371, -80.9531",20,NA,NA,NA,NA
2016-11-18,0,4,4,Illinois,Chicago,http://www.gunviolencearchive.org/incident/704568,"41.9116, -87.7512",7,NA,NA,NA,NA
2016-11-17,1,7,8,Tennessee,Dyersburg,http://www.gunviolencearchive.org/incident/703245,"36.0293, -89.3647",8,NA,NA,NA,NA
2016-11-13,3,2,5,Florida,Jacksonville,http://www.gunviolencearchive.org/incident/699605,"30.3648, -81.706",5,NA,Handgun,NA,NA
2016-11-13,0,4,4,Texas,San Antonio,http://www.gunviolencearchive.org/incident/699332,"29.507, -98.3812",28,NA,NA,NA,NA
2016-11-13,3,2,5,California,San Diego,http://www.gunviolencearchive.org/incident/700232,"32.7478, -117.106",51,NA,Handgun,NA,NA
2016-11-13,0,4,4,Florida,Orlando,http://www.gunviolencearchive.org/incident/699316,"28.5325, -81.4343",5,NA,NA,NA,NA
2016-11-12,1,5,6,California,Sacramento,http://www.gunviolencearchive.org/incident/699033,"38.4564, -121.384",7,NA,NA,NA,NA
2016-11-12,1,3,4,Missouri,Kansas City,http://www.gunviolencearchive.org/incident/700363,"39.0862, -94.5382",5,NA,NA,NA,NA
2016-11-12,0,5,5,Connecticut,Bridgeport,http://www.gunviolencearchive.org/incident/699303,"41.1926, -73.2146",4,NA,NA,NA,NA
2016-11-11,0,4,4,Texas,Houston,http://www.gunviolencearchive.org/incident/699863,"29.7169, -95.2832",29,NA,NA,NA,NA
2016-11-10,1,3,4,Texas,Houston,http://www.gunviolencearchive.org/incident/698383,"29.8671, -95.5636",2,NA,NA,NA,NA
2016-11-09,0,5,5,Washington,Seattle,http://www.gunviolencearchive.org/incident/696917,"47.6101, -122.338",7,NA,NA,NA,NA
2016-11-09,1,3,4,Illinois,Chicago,http://www.gunviolencearchive.org/incident/697377,"41.8796, -87.711",7,NA,NA,NA,NA
2016-11-09,0,4,4,Tennessee,Memphis,http://www.gunviolencearchive.org/incident/696352,"35.061, -90.0037",9,NA,NA,NA,NA
2016-11-05,1,3,4,Florida,Fort Lauderdale (Lauderhill),http://www.gunviolencearchive.org/incident/693624,"26.1213, -80.187",20,NA,NA,NA,NA
2016-11-05,0,4,4,Texas,San Antonio,http://www.gunviolencearchive.org/incident/693438,"29.5376, -98.4109",35,NA,NA,NA,NA
2016-11-05,0,5,5,South Carolina,Myrtle Beach,http://www.gunviolencearchive.org/incident/693401,"33.6933, -78.885",7,NA,NA,NA,NA
2016-11-05,0,8,8,California,Oakland,http://www.gunviolencearchive.org/incident/693374,"37.8041, -122.27",13,NA,NA,NA,NA
2016-11-05,0,5,5,Illinois,Chicago,http://www.gunviolencearchive.org/incident/693290,"41.9694, -87.658",9,NA,NA,NA,NA
